item_id,store_id,average_daily_sales,maximum_daily_sales,average_lead_time,maximum_lead_time,safety_stock,reorder_point
HOBBIES_1_001,CA_1,0.31,5,7,14,67.8,70.0
HOBBIES_1_002,CA_1,0.26,5,7,14,68.2,70.0
HOBBIES_1_003,CA_1,0.15,6,7,14,82.95,84.0
HOBBIES_1_004,CA_1,1.72,15,7,14,197.97,210.0
HOBBIES_1_005,CA_1,0.97,9,7,14,119.23,126.0
HOBBIES_1_006,CA_1,0.86,10,7,14,133.99,140.0
HOBBIES_1_007,CA_1,0.22,3,7,14,40.45,42.0
HOBBIES_1_008,CA_1,7.23,91,7,14,1223.39,1274.0
HOBBIES_1_009,CA_1,1.19,20,7,14,271.7,280.0
HOBBIES_1_010,CA_1,0.72,6,7,14,78.96,84.0
HOBBIES_1_011,CA_1,0.07,3,7,14,41.48,42.0
HOBBIES_1_012,CA_1,0.39,3,7,14,39.24,42.0
HOBBIES_1_013,CA_1,0.26,4,7,14,54.2,56.0
HOBBIES_1_014,CA_1,1.25,15,7,14,201.23,210.0
HOBBIES_1_015,CA_1,6.06,83,7,14,1119.55,1162.0
HOBBIES_1_016,CA_1,5.53,90,7,14,1221.3,1260.0
HOBBIES_1_017,CA_1,1.05,14,7,14,188.65,196.0
HOBBIES_1_018,CA_1,0.05,3,7,14,41.68,42.0
HOBBIES_1_019,CA_1,4.73,64,7,14,862.88,896.0
HOBBIES_1_020,CA_1,0.32,4,7,14,53.75,56.0
HOBBIES_1_021,CA_1,0.66,11,7,14,149.38,154.0
HOBBIES_1_022,CA_1,0.34,5,7,14,67.61,70.0
HOBBIES_1_023,CA_1,1.12,8,7,14,104.14,112.0
HOBBIES_1_024,CA_1,0.24,5,7,14,68.29,70.0
HOBBIES_1_025,CA_1,0.47,6,7,14,80.68,84.0
HOBBIES_1_026,CA_1,0.01,3,7,14,41.92,42.0
HOBBIES_1_027,CA_1,0.19,6,7,14,82.65,84.0
HOBBIES_1_028,CA_1,0.7,5,7,14,65.09,70.0
HOBBIES_1_029,CA_1,1.47,11,7,14,143.71,154.0
HOBBIES_1_030,CA_1,2.93,52,7,14,707.51,728.0
HOBBIES_1_031,CA_1,0.35,4,7,14,53.54,56.0
HOBBIES_1_032,CA_1,5.56,72,7,14,969.06,1008.0
HOBBIES_1_033,CA_1,0.17,4,7,14,54.82,56.0
HOBBIES_1_034,CA_1,0.48,9,7,14,122.62,126.0
HOBBIES_1_035,CA_1,0.14,4,7,14,55.02,56.0
HOBBIES_1_036,CA_1,0.64,12,7,14,163.51,168.0
HOBBIES_1_037,CA_1,0.76,6,7,14,78.71,84.0
HOBBIES_1_038,CA_1,0.4,4,7,14,53.23,56.0
HOBBIES_1_039,CA_1,0.1,3,7,14,41.28,42.0
HOBBIES_1_040,CA_1,0.6,6,7,14,79.77,84.0
HOBBIES_1_041,CA_1,0.3,3,7,14,39.87,42.0
HOBBIES_1_042,CA_1,0.51,7,7,14,94.4,98.0
HOBBIES_1_043,CA_1,3.29,58,7,14,788.98,812.0
HOBBIES_1_044,CA_1,0.95,9,7,14,119.34,126.0
HOBBIES_1_045,CA_1,0.13,5,7,14,69.09,70.0
HOBBIES_1_046,CA_1,0.17,6,7,14,82.78,84.0
HOBBIES_1_047,CA_1,1.17,21,7,14,285.83,294.0
HOBBIES_1_048,CA_1,7.25,67,7,14,887.26,938.0
HOBBIES_1_049,CA_1,0.31,4,7,14,53.83,56.0
HOBBIES_1_050,CA_1,0.94,7,7,14,91.45,98.0
HOBBIES_1_051,CA_1,0.14,4,7,14,55.04,56.0
HOBBIES_1_052,CA_1,0.06,5,7,14,69.55,70.0
HOBBIES_1_053,CA_1,0.08,6,7,14,83.41,84.0
HOBBIES_1_054,CA_1,0.1,4,7,14,55.29,56.0
HOBBIES_1_055,CA_1,1.67,11,7,14,142.28,154.0
HOBBIES_1_056,CA_1,0.82,12,7,14,162.25,168.0
HOBBIES_1_057,CA_1,0.63,7,7,14,93.62,98.0
HOBBIES_1_058,CA_1,0.45,6,7,14,80.87,84.0
HOBBIES_1_060,CA_1,0.18,3,7,14,40.71,42.0
HOBBIES_1_061,CA_1,0.3,6,7,14,81.88,84.0
HOBBIES_1_062,CA_1,0.06,3,7,14,41.57,42.0
HOBBIES_1_063,CA_1,0.18,4,7,14,54.74,56.0
HOBBIES_1_064,CA_1,1.53,8,7,14,101.32,112.0
HOBBIES_1_065,CA_1,0.09,3,7,14,41.39,42.0
HOBBIES_1_066,CA_1,0.24,25,7,14,348.29,350.0
HOBBIES_1_067,CA_1,5.19,81,7,14,1097.68,1134.0
HOBBIES_1_068,CA_1,0.94,7,7,14,91.43,98.0
HOBBIES_1_069,CA_1,0.38,4,7,14,53.31,56.0
HOBBIES_1_070,CA_1,0.09,3,7,14,41.39,42.0
HOBBIES_1_072,CA_1,0.59,7,7,14,93.87,98.0
HOBBIES_1_073,CA_1,0.4,3,7,14,39.21,42.0
HOBBIES_1_074,CA_1,1.6,13,7,14,170.8,182.0
HOBBIES_1_075,CA_1,0.58,8,7,14,107.91,112.0
HOBBIES_1_076,CA_1,0.59,11,7,14,149.87,154.0
HOBBIES_1_077,CA_1,0.25,5,7,14,68.28,70.0
HOBBIES_1_078,CA_1,1.95,11,7,14,140.36,154.0
HOBBIES_1_079,CA_1,1.05,10,7,14,132.63,140.0
HOBBIES_1_080,CA_1,3.43,66,7,14,899.97,924.0
HOBBIES_1_081,CA_1,0.58,7,7,14,93.97,98.0
HOBBIES_1_082,CA_1,0.14,4,7,14,55.03,56.0
HOBBIES_1_083,CA_1,0.2,4,7,14,54.63,56.0
HOBBIES_1_084,CA_1,0.87,6,7,14,77.94,84.0
HOBBIES_1_085,CA_1,0.94,8,7,14,105.45,112.0
HOBBIES_1_086,CA_1,1.06,8,7,14,104.57,112.0
HOBBIES_1_087,CA_1,0.56,5,7,14,66.07,70.0
HOBBIES_1_088,CA_1,0.45,8,7,14,108.85,112.0
HOBBIES_1_089,CA_1,1.61,11,7,14,142.73,154.0
HOBBIES_1_090,CA_1,1.68,39,7,14,534.25,546.0
HOBBIES_1_091,CA_1,0.34,24,7,14,333.65,336.0
HOBBIES_1_092,CA_1,0.23,4,7,14,54.4,56.0
HOBBIES_1_093,CA_1,0.19,3,7,14,40.68,42.0
HOBBIES_1_094,CA_1,0.33,5,7,14,67.67,70.0
HOBBIES_1_095,CA_1,0.14,3,7,14,41.04,42.0
HOBBIES_1_097,CA_1,0.57,4,7,14,52.04,56.0
HOBBIES_1_098,CA_1,0.45,4,7,14,52.83,56.0
HOBBIES_1_099,CA_1,0.97,8,7,14,105.24,112.0
HOBBIES_1_100,CA_1,0.71,5,7,14,65.02,70.0
HOBBIES_1_102,CA_1,0.12,2,7,14,27.19,28.0
HOBBIES_1_103,CA_1,4.15,43,7,14,572.94,602.0
HOBBIES_1_104,CA_1,0.1,2,7,14,27.27,28.0
HOBBIES_1_105,CA_1,0.84,7,7,14,92.13,98.0
HOBBIES_1_106,CA_1,0.28,7,7,14,96.06,98.0
HOBBIES_1_107,CA_1,0.07,3,7,14,41.48,42.0
HOBBIES_1_108,CA_1,1.09,10,7,14,132.4,140.0
