Feature,Importance
d_1906,0.20144714
d_1912,0.17577285
d_1892,0.12083533
d_1890,0.04812589
d_1908,0.033905573
d_1898,0.030581227
d_1899,0.0280069
d_1907,0.027700506
d_1909,0.025301458
d_1910,0.023352318
d_1911,0.022084594
d_1897,0.021616615
d_1891,0.020269144
d_1905,0.01945063
d_1894,0.016372463
d_1884,0.015494949
d_1904,0.015189947
d_1893,0.014509832
d_1887,0.013165534
d_1901,0.012528606
d_1896,0.012140706
d_1885,0.012074245
d_1889,0.01149059
d_1886,0.011488394
d_1900,0.011343678
d_1903,0.010737732
d_1895,0.010023043
d_1902,0.009351783
d_1888,0.007720168
cat_id,0.0066055064
item_id,0.00507456
store_id,0.0032092477
dept_id,0.0030288924
state_id,0.0
